in a modern gym with equipment in the background,#a muscular man in his 30s, wearing a black tank top and shorts,#lifting polygon-shaped dumbbells with focused expression
in a modern gym with equipment in the background,#a muscular man in his 30s, wearing a black tank top and shorts,#squating down, polygon-shaped dumbbells on the ground
in a modern gym with equipment in the background,#a muscular man in his 30s, wearing a black tank top and shorts,#holding a bottle in the hand and drinking, side view
in a modern gym with equipment in the background,#a muscular man in his 30s, wearing a black tank top and shorts,#standing, wiping sweat with a towel
in a modern gym with equipment in the background,#a muscular man in his 30s, wearing a black tank top and shorts,#smiling, giving a thumbs-up and facing the camera

on a empty mountain top, snow-covered peaks and a clear sky in the background,#a rugged man with a beard, wearing a red jacket and black snow pants,#in the center, hiking up, looking determined, front view
on a empty mountain top, snow-covered peaks and a clear sky in the background,#a rugged man with a beard, wearing a red jacket and black snow pants,#on the right side, standing with arms wide open, embracing the cold wind, back view
on a empty mountain top, snow-covered peaks and a clear sky in the background,#a rugged man with a beard, wearing a red jacket and black snow pants,#on the left side, checking a map, planning the next route, side view
on a empty mountain top, snow-covered peaks and a clear sky in the background,#a rugged man with a beard, wearing a red jacket and black snow pants,#in the center, taking a selfie, with snow-capped mountains in the background, front view

a futuristic laboratory with glowing blue lights and high-tech equipment in the background,#a young Black male scientist, wearing a white lab coat, black-rimmed glasses, and holding a tablet,#standing confidently, holding the tablet with both hands, front view
a futuristic laboratory with glowing blue lights and high-tech equipment in the background,#a young Black male scientist, wearing a white lab coat, black-rimmed glasses, and holding a tablet,#looking at the tablet with a focused expression, tilting his head, side view
a futuristic laboratory with glowing blue lights and high-tech equipment in the background,#a young Black male scientist, wearing a white lab coat, black-rimmed glasses, and holding a tablet,#smiling widely, raising one hand as if explaining something, front view
a futuristic laboratory with glowing blue lights and high-tech equipment in the background,#a young Black male scientist, wearing a white lab coat, black-rimmed glasses, and holding a tablet,#puzzled, scratching his head with one hand, holding the tablet in the other
a futuristic laboratory with glowing blue lights and high-tech equipment in the background,#a young Black male scientist, wearing a white lab coat, black-rimmed glasses, and holding a tablet,#walking away toward the lab equipment, still holding the tablet, back view
a futuristic laboratory with glowing blue lights and high-tech equipment in the background,#a young Black male scientist, wearing a white lab coat, black-rimmed glasses, and holding a tablet,#angry, raising a fist with an intense glare, front view
